Item Name,Level 1 Code,Level 1 Category,Level 2 Code,Level 2 Category,Level 3 Code,Level 3 Category,Level 4 Code,Level 4 Category,Template
"Ball Valve, A182 F304 (Forged), Screw 600LBS",01,Stainless Steel (SUS),0109,Ball Valve,0109006,A182 F304 (Forged),0109006012,Screw 600LBS,A
"Ball Valve, A182 F304 (Forged), SW 150LBS",01,Stainless Steel (SUS),0109,Ball Valve,0109006,A182 F304 (Forged),0109006013,SW 150LBS,A
"Ball Valve, SUS 316L, LOK",01,Stainless Steel (SUS),0109,Ball Valve,0109008,SUS 316L,0109008001,LOK,A
"Ball Valve, SUS 316L, SW",01,Stainless Steel (SUS),0109,Ball Valve,0109008,SUS 316L,0109008007,SW,A
"Ball Valve, Pneumatic Ball, SCS13",01,Stainless Steel (SUS),0109,Ball Valve,0109011,Pneumatic Ball,0109011001,SCS13,A
"Ball Valve, A182 F316 (Forged), SBVF Series",01,Stainless Steel (SUS),0109,Ball Valve,0109012,A182 F316 (Forged),0109012001,SBVF Series,A
"Ball Valve, A182 F316 (Forged), SW 600LB",01,Stainless Steel (SUS),0109,Ball Valve,0109012,A182 F316 (Forged),0109012015,SW 600LB,A
"Ball Valve, SUS 304, BW",01,Stainless Steel (SUS),0109,Ball Valve,0109014,SUS 304,0109014003,BW,A
"Ball Valve, SUS 304, LOK AP (MP)",01,Stainless Steel (SUS),0109,Ball Valve,0109014,SUS 304,0109014007,LOK AP (MP),A
"Ball Valve, SUS 316, Screw",01,Stainless Steel (SUS),0109,Ball Valve,0109020,SUS 316,0109020002,Screw,A
"Ball Valve, SUS 316, LOK",01,Stainless Steel (SUS),0109,Ball Valve,0109020,SUS 316,0109020003,LOK,A
"Check Valve, A351 CF8, Screw 150LB",01,Stainless Steel (SUS),0111,Check Valve,0111004,A351 CF8,0111004001,Screw 150LB,A
"Check Valve, A351 CF8, Flange 150LB",01,Stainless Steel (SUS),0111,Check Valve,0111004,A351 CF8,0111004002,Flange 150LB,A
"Check Valve, A351 CF8, Wafer Type",01,Stainless Steel (SUS),0111,Check Valve,0111004,A351 CF8,0111004008,Wafer Type,A
"Check Valve, SUS 316L, LOK",01,Stainless Steel (SUS),0111,Check Valve,0111008,SUS 316L,0111008001,LOK,A
"Check Valve, A351 CF3, Flange",01,Stainless Steel (SUS),0111,Check Valve,0111014,A351 CF3,0111014001,Flange,A
"Check Valve, SUS304, Screw",01,Stainless Steel (SUS),0111,Check Valve,0111016,SUS304,0111016001,Screw,A
"Check Valve, SUS304, Flange",01,Stainless Steel (SUS),0111,Check Valve,0111016,SUS304,0111016003,Flange,A
"Globe Valve, A351 CF8, BB OS&Y 150LBS",01,Stainless Steel (SUS),0113,Globe Valve,0113002,A351 CF8,0113002004,BB OS&Y 150LBS,A
"Globe Valve, A351 CF8M, BB OS&Y 150LBS",01,Stainless Steel (SUS),0113,Globe Valve,0113005,A351 CF8M,0113005001,BB OS&Y 150LBS,A
"Globe Valve, A182 F316L, SW",01,Stainless Steel (SUS),0113,Globe Valve,0113016,A182 F316L,0113016001,SW,A
"Butterfly Valve, Gear",01,Stainless Steel (SUS),0114,Butterfly Valve,0114001,Gear,0114001011,Other,A
"Butterfly Valve, Gear, 150#",01,Stainless Steel (SUS),0114,Butterfly Valve,0114001,Gear,0114001013,150#,A
"Butterfly Valve, Lever, Class 150 Standard",01,Stainless Steel (SUS),0114,Butterfly Valve,0114002,Lever,0114002012,Class 150 Standard,A
"Butterfly Valve, Lug, 150LBS",01,Stainless Steel (SUS),0114,Butterfly Valve,0114003,Lug,0114003002,150LBS,A
"Butterfly Valve, Pneumatic, XV",01,Stainless Steel (SUS),0114,Butterfly Valve,0114006,Pneumatic,0114006001,XV,A
"LOK Fitting (Tube Fitting), Male Connector (NPT)",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116001,Connector,0116001001,Male Connector (NPT),A
"LOK Fitting (Tube Fitting), Female Connector (NPT)",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116001,Connector,0116001002,Female Connector (NPT),A
"LOK Fitting (Tube Fitting), Male Connector (PT)",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116001,Connector,0116001004,Male Connector (PT),A
"LOK Fitting (Tube Fitting), Female Connector (PT)",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116001,Connector,0116001007,Female Connector (PT),A
"LOK Fitting (Tube Fitting), Connector, CGA",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116001,Connector,0116001009,CGA,A
"LOK Fitting (Tube Fitting), Union Elbow",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116002,Elbow,0116002001,Union Elbow,A
"LOK Fitting (Tube Fitting), Female Elbow",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116002,Elbow,0116002002,Female Elbow,A
"LOK Fitting (Tube Fitting), Male Elbow",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116002,Elbow,0116002004,Male Elbow,A
"LOK Fitting (Tube Fitting), Union Tee",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116003,Tee,0116003001,Union Tee,A
"LOK Fitting (Tube Fitting), Reducing Union Tee",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116003,Tee,0116003002,Reducing Union Tee,A
"LOK Fitting (Tube Fitting), Union",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116004,Union,0116004001,Union,A
"LOK Fitting (Tube Fitting), Reducing Union",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116004,Union,0116004002,Reducing Union,A
"LOK Fitting (Tube Fitting), Bulkhead Union",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116004,Union,0116004003,Bulkhead Union,A
"LOK Fitting (Tube Fitting), Union, Reducer",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116004,Union,0116004005,Reducer,A
"LOK Fitting (Tube Fitting), Weld End, Male Pipe Weld Connector",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116007,Weld End,0116007001,Male Pipe Weld Connector,A
"LOK Fitting (Tube Fitting), Plug",01,Stainless Steel (SUS),0116,LOK Fitting (Tube Fitting),0116022,Plug & Cap,0116022001,Plug,A
